Domain,Area,Element,Item,Year,Unit,Value,Source
Crops and livestock products,Nigeria,Extraction Rate,Palm oil,2019,,,FAOSTAT
Crops and livestock products,Nigeria,Production,Palm oil,2019,t,1220000.0,FAOSTAT
Crops and livestock products,Nigeria,Extraction Rate,Palm oil,2020,,,FAOSTAT
Crops and livestock products,Nigeria,Production,Palm oil,2020,t,1280000.0,FAOSTAT
Crops and livestock products,Nigeria,Extraction Rate,Palm oil,2021,,,FAOSTAT
Crops and livestock products,Nigeria,Production,Palm oil,2021,t,1350000.0,FAOSTAT
Crops and livestock products,Nigeria,Extraction Rate,Palm oil,2022,,,FAOSTAT
Crops and livestock products,Nigeria,Production,Palm oil,2022,t,1420000.0,FAOSTAT
Crops and livestock products,Nigeria,Extraction Rate,Palm oil,2023,,,FAOSTAT
Crops and livestock products,Nigeria,Production,Palm oil,2023,,,FAOSTAT
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
